task,seq_len_multi,standardize_task,decision,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type
PerceptualDecisionMaking-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,sa_axis
MultiSensoryIntegration-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,sa_axis
ContextDecisionMaking-v0,5,True,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,sa_axis
PerceptualDecisionMaking-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,euclidean
MultiSensoryIntegration-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,euclidean
ContextDecisionMaking-v0,5,True,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,euclidean
PerceptualDecisionMaking-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,None
MultiSensoryIntegration-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,None
ContextDecisionMaking-v0,5,True,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.002,None
PerceptualDecisionMaking-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.0,None
MultiSensoryIntegration-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.0,None
ContextDecisionMaking-v0,5,True,400,rnn-tanh,100,32,0.001,16,25000,True,l2,0.0,None
PerceptualDecisionMaking-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,False,l2,0.0,None
MultiSensoryIntegration-v0,5,False,400,rnn-tanh,100,32,0.001,16,25000,False,l2,0.0,None
ContextDecisionMaking-v0,5,True,400,rnn-tanh,100,32,0.001,16,25000,False,l2,0.0,None
