task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type,kernel_normalization,time_step,alpha
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.000,None,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.000,None,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sa_axis,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,euclidean,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.000,None,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.000,None,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sa_axis,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,euclidean,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.000,None,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.000,None,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sa_axis,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,euclidean,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.000,None,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.000,None,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sa_axis,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,euclidean,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.002,None,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,None,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,ut_axis,mean,50,0.90
DelayMatchSampleDistractor1D-v0,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sphere_euclidean,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.002,None,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,None,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,ut_axis,mean,50,0.90
GoNogo-v0-Del_200_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sphere_euclidean,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.002,None,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,None,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,ut_axis,mean,50,0.90
PerceptualDecisionMaking-v0-Del_300_100_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sphere_euclidean,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,False,l2,0.002,None,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,None,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,ut_axis,mean,50,0.90
DelayComparison-v0-Del_600_200_Dec_300,5,rnn-tanh,100,32,0.001,24,100000,True,l2,0.002,sphere_euclidean,mean,50,0.90
