task,seq_len_multi,time_step,alpha,rec_noise,init_hh_w,rnn_model,hidden_size,batch_size,learning_rate,n_epochs,reg_type,reg_weight,kernel_type,kernel_normalization,mask_weights,n_runs
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0,None,mean,False,100
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0,None,mean,True,100
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,sf_axis,mean,False,100
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,sf_axis,mean,True,100
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,euclidean,mean,False,100
GoNogo-v0-Del_200_100_Dec_300,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,euclidean,mean,True,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0,None,mean,False,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0,None,mean,True,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,sf_axis,mean,False,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,sf_axis,mean,True,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,euclidean,mean,False,100
DelayMatchSampleDistractor1D-v0,5,50,0.1,0.05,-0.01 0.01,rnn-tanh,100,32,0.001,100000,l2,0.002,euclidean,mean,True,100
