task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type
GoNogo-v0-Del00_Dec1,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,sa_axis
GoNogo-v0-Del00_Dec1,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,None
GoNogo-v0-Del00_Dec1,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.002,None
GoNogo-v0-Del00_Dec1,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.0,None
GoNogo-v0-Del00_Dec1,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.0,None
GoNogo-v0-Del00_Dec3,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,sa_axis
GoNogo-v0-Del00_Dec3,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,None
GoNogo-v0-Del00_Dec3,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.002,None
GoNogo-v0-Del00_Dec3,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.0,None
GoNogo-v0-Del00_Dec3,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.0,None
GoNogo-v0-Del00_Dec5,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,sa_axis
GoNogo-v0-Del00_Dec5,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,None
GoNogo-v0-Del00_Dec5,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.002,None
GoNogo-v0-Del00_Dec5,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.0,None
GoNogo-v0-Del00_Dec5,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.0,None
GoNogo-v0-Del05_Dec1,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,sa_axis
GoNogo-v0-Del05_Dec1,5,rnn-tanh,100,32,0.001,12,10000,True,l2,0.002,None
GoNogo-v0-Del05_Dec1,5,rnn-tanh,100,32,0.001,12,10000,False,l2,0.002,None
