task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type,kernel_normalization
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_300_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_300_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_300_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_300_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_300_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_500_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_500_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_500_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_500_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_500_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_700_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_700_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_700_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_700_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_700_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_900_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_900_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_900_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_900_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_900_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_1100_0,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_1100_100,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_1100_200,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_1100_300,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,sa_axis,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,euclidean,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.002,None,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,True,l2,0.0,None,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.002,None,mean
GoNogo-v0-Del_1100_500,5,rnn-tanh,100,32,0.001,500,5000,False,l2,0.0,None,mean
