task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type
GoNogo-v0-Del05_Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,sa_axis
GoNogoVD-v0-Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,sa_axis
GoNogo-v0-Del05_Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,ut_axis
GoNogoVD-v0-Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,ut_axis
GoNogo-v0-Del05_Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,euclidean
GoNogoVD-v0-Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,euclidean
GoNogo-v0-Del05_Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,None
GoNogoVD-v0-Dec3,5,rnn-tanh,100,32,0.001,36,2000,True,l2,0.002,None
GoNogo-v0-Del05_Dec3,5,rnn-tanh,100,32,0.001,36,2000,False,l2,0.000,None
GoNogoVD-v0-Dec3,5,rnn-tanh,100,32,0.001,36,2000,False,l2,0.000,None
