ROI Name,R,A,S
7Networks_LH_Vis_1,-24,-53,-9
7Networks_LH_Vis_2,-26,-77,-14
7Networks_LH_Vis_3,-45,-69,-8
7Networks_LH_Vis_4,-10,-67,-4
7Networks_LH_Vis_5,-27,-95,-12
7Networks_LH_Vis_6,-14,-44,-3
7Networks_LH_Vis_7,-5,-93,-4
7Networks_LH_Vis_8,-47,-70,10
7Networks_LH_Vis_9,-23,-97,6
7Networks_LH_Vis_10,-11,-70,7
7Networks_LH_Vis_11,-40,-85,11
7Networks_LH_Vis_12,-12,-73,22
7Networks_LH_Vis_13,-7,-87,28
7Networks_LH_Vis_14,-23,-87,23
7Networks_LH_SomMot_1,-51,-4,-2
7Networks_LH_SomMot_2,-53,-24,9
7Networks_LH_SomMot_3,-37,-21,16
7Networks_LH_SomMot_4,-55,-4,10
7Networks_LH_SomMot_5,-53,-22,18
7Networks_LH_SomMot_6,-56,-8,31
7Networks_LH_SomMot_7,-47,-9,46
7Networks_LH_SomMot_8,-7,-12,46
7Networks_LH_SomMot_9,-49,-28,57
7Networks_LH_SomMot_10,-40,-25,57
7Networks_LH_SomMot_11,-31,-46,63
7Networks_LH_SomMot_12,-32,-22,64
7Networks_LH_SomMot_13,-26,-38,68
7Networks_LH_SomMot_14,-20,-11,68
7Networks_LH_SomMot_15,-5,-29,67
7Networks_LH_SomMot_16,-19,-31,68
7Networks_LH_DorsAttn_Post_1,-43,-48,-19
7Networks_LH_DorsAttn_Post_2,-57,-60,-1
7Networks_LH_DorsAttn_Post_3,-26,-70,38
7Networks_LH_DorsAttn_Post_4,-54,-27,42
7Networks_LH_DorsAttn_Post_5,-41,-35,47
7Networks_LH_DorsAttn_Post_6,-33,-49,47
7Networks_LH_DorsAttn_Post_7,-17,-73,54
7Networks_LH_DorsAttn_Post_8,-29,-60,59
7Networks_LH_DorsAttn_Post_9,-6,-60,57
7Networks_LH_DorsAttn_Post_10,-17,-53,68
7Networks_LH_DorsAttn_FEF_1,-31,-4,53
7Networks_LH_DorsAttn_FEF_2,-22,6,62
7Networks_LH_DorsAttn_PrCv_1,-48,6,29
7Networks_LH_SalVentAttn_ParOper_1,-56,-40,20
7Networks_LH_SalVentAttn_ParOper_2,-61,-26,28
7Networks_LH_SalVentAttn_ParOper_3,-60,-39,36
7Networks_LH_SalVentAttn_FrOperIns_1,-39,-4,-4
7Networks_LH_SalVentAttn_FrOperIns_2,-33,20,5
7Networks_LH_SalVentAttn_FrOperIns_3,-39,1,11
7Networks_LH_SalVentAttn_FrOperIns_4,-51,9,11
7Networks_LH_SalVentAttn_PFCl_1,-28,43,31
7Networks_LH_SalVentAttn_Med_1,-6,9,41
7Networks_LH_SalVentAttn_Med_2,-11,-35,46
7Networks_LH_SalVentAttn_Med_3,-6,-3,65
7Networks_LH_Limbic_OFC_1,-24,22,-20
7Networks_LH_Limbic_OFC_2,-10,35,-21
7Networks_LH_Limbic_TempPole_1,-29,-6,-39
7Networks_LH_Limbic_TempPole_2,-45,-20,-30
7Networks_LH_Limbic_TempPole_3,-28,10,-34
7Networks_LH_Limbic_TempPole_4,-43,8,-19
7Networks_LH_Cont_Par_1,-53,-51,46
7Networks_LH_Cont_Par_2,-35,-62,48
7Networks_LH_Cont_Par_3,-45,-42,46
7Networks_LH_Cont_Temp_1,-61,-43,-13
7Networks_LH_Cont_OFC_1,-32,42,-13
7Networks_LH_Cont_PFCl_1,-42,49,-6
7Networks_LH_Cont_PFCl_2,-28,58,8
7Networks_LH_Cont_PFCl_3,-42,40,16
7Networks_LH_Cont_PFCl_4,-44,20,27
7Networks_LH_Cont_PFCl_5,-43,6,43
7Networks_LH_Cont_pCun_1,-9,-73,38
7Networks_LH_Cont_Cing_1,-5,-29,28
7Networks_LH_Cont_Cing_2,-3,4,30
7Networks_LH_Default_Temp_1,-47,8,-33
7Networks_LH_Default_Temp_2,-60,-19,-22
7Networks_LH_Default_Temp_3,-56,-6,-12
7Networks_LH_Default_Temp_4,-58,-30,-4
7Networks_LH_Default_Temp_5,-58,-43,7
7Networks_LH_Default_Par_1,-48,-57,18
7Networks_LH_Default_Par_2,-39,-80,31
7Networks_LH_Default_Par_3,-57,-54,28
7Networks_LH_Default_Par_4,-46,-66,38
7Networks_LH_Default_PFC_1,-35,20,-13
7Networks_LH_Default_PFC_2,-6,36,-10
7Networks_LH_Default_PFC_3,-46,31,-7
7Networks_LH_Default_PFC_4,-12,63,-6
7Networks_LH_Default_PFC_5,-52,22,8
7Networks_LH_Default_PFC_6,-6,44,7
7Networks_LH_Default_PFC_7,-8,59,21
7Networks_LH_Default_PFC_8,-6,30,25
7Networks_LH_Default_PFC_9,-11,47,45
7Networks_LH_Default_PFC_10,-3,33,43
7Networks_LH_Default_PFC_11,-40,19,49
7Networks_LH_Default_PFC_12,-24,25,49
7Networks_LH_Default_PFC_13,-9,17,63
7Networks_LH_Default_pCunPCC_1,-11,-56,13
7Networks_LH_Default_pCunPCC_2,-5,-55,27
7Networks_LH_Default_pCunPCC_3,-4,-31,36
7Networks_LH_Default_pCunPCC_4,-6,-54,42
7Networks_LH_Default_PHC_1,-26,-32,-18
